root         193  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-nvme-wq]
root         194  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-nvme-reset-wq]
root         195  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-nvme-delete-wq]
root         196  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-nvme-auth-wq]
root         197  0.0  0.0      0     0 ?        S    12:19   0:00 [card1-crtc0]
root         198  0.0  0.0      0     0 ?        S    12:19   0:00 [card1-crtc1]
root         199  0.0  0.0      0     0 ?        S    12:19   0:00 [card1-crtc2]
root         200  0.0  0.0      0     0 ?        S    12:19   0:00 [card1-crtc3]
root         203  0.0  0.0      0     0 ?        I<   12:19   0:01 [kworker/0:1H-i915_cleanup]
root         204  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-USBC000:00-con1]
root         205  0.0  0.0      0     0 ?        I<   12:19   0:01 [kworker/2:1H-i915_cleanup]
root         206  0.0  0.0      0     0 ?        I<   12:19   0:01 [kworker/1:1H-i915_cleanup]
root         207  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-USBC000:00-con2]
root         236  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-raid5wq]
root         255  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/5:1H]
root         299  0.0  0.0      0     0 ?        I<   12:19   0:01 [kworker/4:1H-i915_cleanup]
root         301  0.0  0.0      0     0 ?        S    12:19   0:00 [jbd2/nvme0n1p2-8]
root         302  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-ext4-rsv-conversion]
root         353  0.0  0.1  67172 18268 ?        SNs  12:19   0:00 /usr/lib/systemd/systemd-journald
root         386  0.0  0.0      0     0 ?        I<   12:19   0:01 [kworker/6:1H-i915_cleanup]
root         389  0.0  0.0      0     0 ?        I<   12:19   0:01 [kworker/7:1H-i915_cleanup]
root         393  0.0  0.0  31376  9316 ?        SNs  12:19   0:07 /usr/lib/systemd/systemd-udevd
root         422  0.0  0.0      0     0 ?        S    12:19   0:00 [psimon]
root         491  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-cfg80211]
root         502  0.0  0.0      0     0 ?        S    12:19   0:11 [irq/191-iwlwifi:default_queue]
root         503  0.0  0.0      0     0 ?        S    12:19   0:01 [irq/192-iwlwifi:queue_1]
